,Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location
81,Silver,Trailer,DOMESTIC TRAILER,2015,Trailer,16/03/2022,Waikato
82,White,Trailer,TANK,1998,Trailer - Heavy,18/01/2022,Bay of Plenty
83,Silver,Audi,ALLROAD,2015,Stationwagon,3/04/2022,Wellington
84,Silver,Trailer,ELITE 8X4,2015,Trailer,4/01/2022,Canterbury
85,Silver,Vespa,PIAGGIO,2001,Roadbike,6/12/2021,Auckland City
86,Silver,Trailer,HELMACK 8X5,2015,Trailer,19/01/2022,Canterbury
87,Yellow,Trailer,LOCAL,1984,Trailer,21/03/2022,Auckland City
88,Silver,Trailer,SINGLE AXLE,2015,Trailer,1/03/2022,Waikato
89,Silver,Trailer,BOAT,2008,Boat Trailer,22/02/2022,Bay of Plenty
90,Blue,Trailer,HOMEBUILT,1990,Trailer,20/01/2022,Bay of Plenty
91,Silver,Trailer,PRESCOTT,2000,Trailer,8/03/2022,Bay of Plenty
92,Silver,Homebuilt,TRAILER,1996,Trailer,24/03/2022,Auckland City
93,Silver,Trailer,COMPASS-C85,2018,Trailer,18/03/2022,Auckland City
94,Silver,Titan,DOMESTIC TRAILER,2018,Trailer,28/12/2021,Counties/Manukau
95,Silver,Custombuilt,TANDEM,1985,Trailer,13/01/2022,Counties/Manukau
96,Red,Honda,VT,2005,Roadbike,19/03/2022,Counties/Manukau
97,Blue,Honda,CBR,2000,Roadbike,31/01/2022,Canterbury
98,Black,Trailer,HOMEBUILT,2022,Trailer,14/02/2022,Counties/Manukau
99,Grey,Trailer,JETSKI ACTION LAB,2021,Boat Trailer,30/12/2021,Waikato
100,Silver,Trailer,HOMEBUILT,2000,Trailer,29/01/2022,Central
101,Black,Homebuilt,TRAILER,2022,Trailer,12/03/2022,Bay of Plenty
102,White,Trailer,MARTIN ENGINEERING,1998,Trailer,28/03/2022,Counties/Manukau
103,Silver,Trailer,TUFF,2018,Trailer,22/11/2021,Bay of Plenty
104,Brown,Trailer,LOCAL,1977,Trailer,3/12/2021,Bay of Plenty
105,Silver,Trailer,8X4 TRAYLA,2018,Trailer - Heavy,1/02/2022,Central
106,Blue,Trailer,HOMEMADE,1980,Trailer,20/03/2022,Tasman
107,White,Trailer,NYMIC,2018,Trailer - Heavy,3/04/2022,Canterbury
108,Silver,Trailer,TRAILER,2022,Trailer,9/02/2022,Auckland City
109,Grey,Trailer,TANDEM,2019,Trailer,23/02/2022,Wellington
110,Silver,Trailer,COMPASS-D116K,2022,Trailer,15/03/2022,Central
111,Red,Harley Davidson,FXSTDI,2004,Roadbike,16/01/2022,Counties/Manukau
112,Grey,Trailer,LOCAL,1967,Trailer,19/10/2021,Canterbury
113,White,Caravan,SWIFT CHARISMA 230,2006,Caravan,27/02/2022,Waitemata
114,Silver,Trailer,TANK,2018,Trailer,29/03/2022,Canterbury
115,Red,Massey,FERGUSSON,2007,Tractor,23/01/2022,Waikato
116,Silver,Trailer,BST85,2022,Trailer,15/03/2022,Wellington
117,Black,Suzuki,LS650P,2003,Roadbike,3/12/2021,Northland
118,Black,Trojan,JET SKI,2022,Boat Trailer,19/03/2022,Waitemata
119,Silver,Trailer,VULCAN,2022,Trailer,4/03/2022,Counties/Manukau
121,Grey,Homebuilt,EZ LOADER STABI CRAF,1989,Boat Trailer,12/10/2021,Canterbury
122,Silver,Trailer,MCLAY,2017,Boat Trailer,19/03/2022,Eastern
123,Silver,Trailer,ENSOL TANKER,2019,Trailer,28/02/2022,Central
124,Red,Kawasaki,EX,2008,Roadbike,2/04/2022,Counties/Manukau
125,Red,Moped,HYOSUNG SB49M,2008,Moped,29/01/2022,Counties/Manukau
126,Grey,Trailer,BRIFORD,1996,Trailer,13/03/2022,Canterbury
127,Silver,Trailer,REID,2000,Boat Trailer,3/02/2022,Auckland City
128,White,Homebuilt,15X7,1994,Boat Trailer,1/01/2022,Canterbury
129,Grey,Trailer,KEA,1998,Trailer,16/11/2021,Tasman
130,Grey,Trailer,ROADCHIEF,2019,Trailer,20/01/2022,Northland
131,Orange,KTM,EXC,2002,Roadbike,13/02/2022,Northland
132,Silver,Trailer,JOBMATE,2019,Trailer,13/03/2022,Bay of Plenty
133,Silver,Trailer,ENSOL TANKER,2022,Trailer,1/04/2022,Central
134,Silver,Trailer,BRAKED TANDEM,2019,Trailer,17/12/2021,Bay of Plenty
135,Grey,Trailer,HARENG,1980,Trailer,31/12/2021,Waikato
136,Silver,Trailer,HOMEBUILT,2019,Trailer,13/03/2022,Southern
137,Silver,Titan,DOMESTIC TRAILER,2019,Trailer,29/10/2021,Waitemata
138,Green,Trailer,HOMEMADE,1962,Trailer,16/02/2022,Canterbury
139,White,Trailer,SPACEE 2000,1997,Trailer,16/11/2021,Central
140,Silver,Briford,8X4 TANDEM TIPPER,2018,Trailer,18/03/2022,Canterbury
141,Silver,Factory Built,BRENT SMITH TRAILERS,2019,Trailer,30/12/2021,Wellington
142,Silver,Trailer,TASMAN8X5TB,2019,Trailer,10/10/2021,Tasman
143,Silver,Trailer,MAKZ,2019,Boat Trailer,14/12/2021,Wellington
144,Silver,Pinto,ENCLOSED TRAILER,2019,Trailer,19/10/2021,Waitemata
145,Silver,Trailer,ELITE 8X4,2019,Trailer,28/02/2022,Canterbury
146,Silver,Trailer,TRANSPORTER,2019,Trailer - Heavy,27/12/2021,Eastern
147,Grey,Trailer,DOMESTIC,2019,Trailer,9/03/2022,Waitemata
148,Silver,Factory Built,DOMESTIC TRAILER,2015,Trailer,21/03/2022,Northland
149,Silver,Briford,TRAILER 8X4,2015,Trailer - Heavy,8/12/2021,Auckland City
150,White,Caravan,XPLORE 452,2008,Caravan,26/12/2021,Bay of Plenty
151,Silver,Pinto,BRAKED TANDEM,2015,Trailer,18/02/2022,Waikato
152,Silver,Trailer,HOBBS,2015,Trailer,12/11/2021,Eastern
153,Silver,Trailer,WILPRO,2015,Trailer,22/11/2021,Bay of Plenty
154,Silver,Briford,TRAILER,2015,Trailer - Heavy,24/01/2022,Counties/Manukau
155,Silver,Briford,TRAILER,2015,Trailer - Heavy,8/03/2022,Auckland City
156,Silver,Briford,OTHER COMMERCIAL TRA,2015,Trailer - Heavy,6/01/2022,Canterbury
157,Silver,Trailer,SINGLE AXLE 7X4,2015,Trailer,19/02/2022,Canterbury
158,White,Sprite,ALPINE  4T2A,2007,Caravan,29/01/2022,Wellington
159,Silver,Trailer,FACTORY BUILT,2015,Trailer,10/01/2022,Central
160,Blue,Nissan,SKYLINE,1989,Saloon,3/02/2022,Wellington
161,Silver,Trailer,YAMAHA VXR,2015,Boat Trailer,10/11/2021,Canterbury
162,Silver,Briford,TRAILER,2015,Trailer - Heavy,12/10/2021,Wellington
163,Silver,Trailer,ROADLINE,2015,Trailer,30/10/2021,Northland
164,Silver,Trailer,TRAYLA,2015,Trailer,13/01/2022,Wellington
165,Silver,Briford,TRAILER,2015,Trailer - Heavy,31/12/2021,Waikato
166,Silver,Briford,TRAILER,2015,Trailer - Heavy,8/12/2021,Counties/Manukau
167,Red,Classic,HALF VISTA,1972,Caravan,16/03/2022,Bay of Plenty
168,White,Trailer,CANTERBURY FABRICAT,2015,Trailer - Heavy,8/03/2022,Central
169,Silver,Trailer,4.5M FLATDECK,2015,Trailer,28/01/2022,Waikato
170,Orange,KTM,SFX,2020,Trail Bike,8/11/2021,Canterbury
171,Silver,Trailer,ELITE 8X4,2016,Trailer,30/03/2022,Canterbury
172,Silver,Trailer,ROADCHIEF 8X5,2019,Trailer,24/03/2022,Southern
173,Silver,Trailer,LOCAL,1998,Trailer,25/12/2021,Central
174,Silver,Trailer,BOAT,2012,Boat Trailer,22/12/2021,Waitemata
175,Silver,Trailer,MM INDUSTRIES,2019,Trailer - Heavy,11/10/2021,Waitemata
176,Silver,Kea,KC85E,2019,Trailer,1/04/2022,Bay of Plenty
177,Silver,Kea,KC106AB,2019,Trailer,29/03/2022,Waikato
178,Silver,Trailer,BOAT TRAILER,2019,Boat Trailer,12/02/2022,Counties/Manukau
180,Silver,Kea,CAGE,2019,Trailer - Heavy,24/11/2021,Waikato
181,Cream,Vespa,SPORTIQUE,1963,Moped,7/12/2021,Southern
182,Silver,Briford,5X4,2019,Trailer,2/11/2021,Canterbury
183,Silver,Trailer,CTDIG,2019,Trailer,22/11/2021,Bay of Plenty
184,Yellow,Suzuki,DR-Z400,2005,Roadbike,12/10/2021,Canterbury
185,Grey,Rhino,DOMESTIC TRAILER,2019,Trailer,28/10/2021,Northland
186,Blue,Homebuilt,TRAILER,1990,Trailer,19/03/2022,Wellington
187,Grey,Trailer,HOMEMADE,1981,Trailer,16/02/2022,Counties/Manukau
188,Silver,Trailer,TRAYLA,2019,Trailer,4/02/2022,Central
189,Silver,Bricon,357J,2019,Boat Trailer,16/12/2021,Waitemata
190,Silver,Trailer,SMASH PALACE,2019,Trailer,7/03/2022,Canterbury
191,White,Trailer,BRIFORD 5X4 SHUTTLE,1996,Trailer,31/10/2021,Canterbury
192,Silver,Trailer,DIAMOND,2019,Trailer,19/01/2022,Central
193,Silver,Kea,K844XA,2019,Trailer,2/04/2022,Waikato
194,Silver,Trailer,TUFF,2019,Trailer,1/11/2021,Counties/Manukau
195,White,Trailer,DMW,2006,Caravan,7/12/2021,Auckland City
196,Silver,Briford,TRAILER,2015,Trailer - Heavy,8/03/2022,Waitemata
197,Green,Trailer,HOMEMADE,1979,Trailer,2/12/2021,Canterbury
198,Silver,Trailer,CABLE DRUM,2019,Trailer - Heavy,13/03/2022,Tasman
199,Silver,Trailer,LOCAL,1999,Trailer,2/02/2022,Auckland City
200,Silver,Trailer,KING,1998,Trailer,19/02/2022,Central
201,Grey,Trailer,HOME BUILT,2001,Trailer,14/10/2021,Southern
202,Silver,Trailer,IFOR WILLIAMS,2019,Trailer - Heavy,7/01/2022,Northland
203,Orange,Trailer,LOCAL,1977,Trailer,25/10/2021,Bay of Plenty
204,Red,Triumph,SPEEDTRIPLE,2004,Roadbike,10/02/2022,Central
205,Grey,Trailer,DOLY,2019,Trailer,29/11/2021,Central
206,Grey,Trailer,SINGLE AXLE,2019,Trailer,15/12/2021,Canterbury
207,Black,Suzuki,GN250,2005,Roadbike,2/04/2022,Counties/Manukau
208,White,Honda,XL250,1985,Roadbike,27/03/2022,Wellington
209,Grey,Trailer,ROOFLINE,2019,Trailer,14/02/2022,Tasman
210,Silver,Trailer,T D ENGINEERING,2019,Trailer,17/03/2022,Central
211,Silver,Trailer,TRADETESTED 7 X 4,2015,Trailer,12/10/2021,Waitemata
212,Silver,Trailer,VULCAN,2015,Trailer,1/11/2021,Waitemata
213,Grey,Trailer,HOME MADE,2016,Trailer,1/03/2022,Wellington
214,White,Anglo,CARAVAN,1976,Caravan,1/12/2021,Waitemata
215,Silver,Reid,TRAILER,2015,Trailer - Heavy,11/10/2021,Waitemata
216,Silver,Lochiel,DOMESTIC TRAILER,2015,Trailer,3/04/2022,Southern
217,Silver,Briford,TRAILER 8X4,2008,Trailer,10/02/2022,Waitemata
218,Blue,Trailer,SLOAN,1985,Trailer - Heavy,22/02/2022,Waikato
219,Silver,Titan,7X4,2015,Trailer,23/12/2021,Counties/Manukau
220,Grey,Trailer,HOMEBUILT,2002,Trailer,31/01/2022,Canterbury
221,Silver,Trailer,DOMESTIC,2016,Trailer,22/11/2021,Northland
222,Black,Trailer,JETSKI,2000,Boat Trailer,25/12/2021,Waikato
223,Silver,Trailer,TANDEM,2016,Trailer,4/04/2022,Central
224,White,Trailer,FURN,2016,Trailer - Heavy,17/01/2022,Bay of Plenty
225,Silver,Lochiel,3X2 PLATFORM,2016,Trailer,27/02/2022,Southern
226,Silver,Trailer,HOMEBUILT,2019,Trailer,26/01/2022,Central
227,Silver,Trailer,GORILLA,2019,Trailer,25/01/2022,Canterbury
228,Grey,Suzuki,UZ,2007,Roadbike,18/12/2021,Auckland City
229,Grey,Homebuilt,TRAILER,1990,Trailer,10/02/2022,Canterbury
230,Blue,Classic,DIPLOMAT,1979,Caravan,28/01/2022,Central
231,Silver,Trailer,LOCAL,1976,Trailer - Heavy,22/01/2022,Central
232,Red,Homebuilt,TRAILER,1987,Trailer,5/03/2022,Southern
233,Silver,Titan,DOMESTIC TRAILER,2019,Trailer,3/03/2022,Waitemata
234,Silver,Trailer,HOMEMADE,2019,Trailer,6/12/2021,Central
235,Blue,Piaggio,MOTORCYCLE,1998,Moped,6/11/2021,Auckland City
236,Silver,Suzuki,GSX250,2003,Roadbike,30/12/2021,Bay of Plenty
237,Black,Suzuki,VL800,2009,Roadbike,31/03/2022,Waitemata
238,Grey,Trailer,DOMESTIC TRAILER,2002,Trailer,29/12/2021,Counties/Manukau
240,Silver,Briford,8X5 TANDEM,2019,Trailer,9/01/2022,Canterbury
241,Silver,Trailer,KEA,2016,Trailer,14/10/2021,Auckland City
242,Silver,Trailer,TANDEM,2019,Trailer,16/02/2022,Canterbury
243,Black,Suzuki,VL800,2007,Roadbike,17/01/2022,Waitemata
244,Silver,Homebuilt,O'LEARY 1 AXLE,1977,Trailer,2/03/2022,Central
245,Silver,Trailer,DOMESTIC TRAILER,2001,Trailer,13/01/2022,Central
246,Silver,Trailer,HOMEBUILT,2019,Boat Trailer,15/12/2021,Auckland City
247,Silver,Trailer,BOAT,2019,Boat Trailer,31/01/2022,Northland
248,Black,Trailer,HOMEBUILT,2019,Trailer,17/11/2021,Central
249,Silver,Buffalo,8X5 TANDEM TRAILER,2019,Trailer,18/10/2021,Canterbury
250,Silver,Trailer,BOAT,2019,Boat Trailer,4/03/2022,Waitemata
251,Silver,Trailer,M J SINGLE AXLE,2019,Trailer,24/01/2022,Canterbury
252,Black,Homebuilt,DOMESTIC TRAILER,2019,Trailer,6/01/2022,Counties/Manukau
253,White,Trailer,HOMEBUILT,1940,Trailer,26/11/2021,Southern
254,Silver,Factory Built,DOMESTIC TRAILER,2019,Trailer,21/03/2022,Wellington
255,Silver,Trailer,ROADCHIEF,2019,Trailer - Heavy,24/10/2021,Bay of Plenty
256,Silver,Trailer,K64SE,1997,Trailer,4/11/2021,Tasman
257,Silver,Trailer,O'LEARY,1997,Trailer,4/04/2022,Central
258,Silver,Trailer,LOCAL,2001,Boat Trailer,15/03/2022,Northland
259,Silver,Trailer,CONCEPT,2017,Trailer,28/10/2021,Central
260,Silver,Titan,DOMESTIC TRAILER,2019,Trailer,25/03/2022,Wellington
261,Silver,Homebuilt,BOAT TRAILER,2019,Boat Trailer,29/10/2021,Counties/Manukau
262,Grey,Yamaha,YZF-R6T,2005,Roadbike,17/02/2022,Waitemata
263,Silver,Factory Built,TRAILUX TRAILER,2019,Trailer,31/03/2022,Wellington
264,Silver,Trailer,ELITE 8X4,2016,Trailer,4/02/2022,Canterbury
265,Silver,Trailer,UTILITY,2016,Trailer,22/03/2022,Waitemata
266,Silver,Trailer,GT TRAILER,2016,Trailer - Heavy,29/10/2021,Canterbury
267,White,Veteran,710,2016,Caravan,28/03/2022,Waikato
268,Silver,Titan,8X5 SINGLE,2016,Trailer,23/03/2022,Waitemata
269,Silver,Homebuilt,HOME BUILD,2016,Trailer,7/12/2021,Canterbury
270,Blue,Homebuilt,TRAILER,2004,Trailer,20/03/2022,Canterbury
271,Silver,Trailer,COMPASS C85,2016,Trailer,11/12/2021,Waikato
272,Silver,Briford,TRAILER,2016,Trailer - Heavy,7/12/2021,Counties/Manukau
273,Silver,Briford,TRAILER,2016,Trailer,14/01/2022,Canterbury
274,Silver,Trailer,GT TRAILER,2016,Trailer - Heavy,29/10/2021,Auckland City
275,White,Homebuilt,TRAILER,1960,Trailer,1/01/2022,Canterbury
276,Grey,Trailer,MAINLINE TANKER,2013,Trailer - Heavy,8/11/2021,Waitemata
277,Grey,Custombuilt,TBS,2016,Trailer - Heavy,12/10/2021,Waitemata
278,Silver,Trailer,GOUGH ENGINEERING,2016,Trailer,25/03/2022,Waikato
279,Silver,Briford,TRAILER,2016,Trailer - Heavy,8/11/2021,Counties/Manukau
280,Silver,Trailer,COMPASS KH85T,2016,Trailer,23/02/2022,Counties/Manukau
281,Grey,Briford,6X4,2016,Trailer,1/12/2021,Auckland City
282,Silver,Trailer,ELITE 8X4,2016,Trailer,30/01/2022,Canterbury
283,Blue,Mazda,LANTIS,1993,Saloon,14/02/2022,Waikato
284,Silver,Trailer,TUFF,2016,Trailer,1/11/2021,Waitemata
285,Silver,Briford,TRAILER,2016,Trailer - Heavy,15/11/2021,Counties/Manukau
286,Silver,Briford,OTHER COMMERCIAL TRA,2016,Trailer - Heavy,8/03/2022,Bay of Plenty
287,Silver,Briford,OTHER COMMERCIAL TRA,2016,Trailer - Heavy,17/01/2022,Waikato
288,Silver,Trailer,AAA375 AAKRON,2016,Boat Trailer,29/01/2022,Counties/Manukau
289,White,Caravan,LUNA DELTA,2007,Caravan,24/03/2022,Wellington
290,Silver,Trailer,VULCAN,2016,Trailer,31/10/2021,Waitemata
291,Silver,Trailer,TUFF,2016,Trailer,28/10/2021,Bay of Plenty
292,Grey,Custombuilt,4,2016,Boat Trailer,22/10/2021,Canterbury
293,Blue,Trailer,FLATDECK,2010,Trailer - Heavy,8/11/2021,Canterbury
294,Silver,Briford,TRAILER 8X4,2016,Trailer,25/11/2021,Counties/Manukau
295,Blue,Suzuki,GSX 750,2005,Roadbike,26/03/2022,Counties/Manukau
296,Silver,Briford,8X4,2019,Trailer,16/02/2022,Canterbury
297,Silver,Voyager,JII,1998,Boat Trailer,5/01/2022,Bay of Plenty
298,Silver,Trailer,HOSKING,2000,Boat Trailer,26/12/2021,Auckland City
299,Grey,Trailer,SPORTLINE 610 HT,2019,Boat Trailer,30/03/2022,Waikato
300,Red,Aprilia,PEGASO,1998,Roadbike,5/04/2022,Southern
301,Blue,Yamaha,CV50 JOG,2007,Moped,26/10/2021,Counties/Manukau
304,Green,Trailer,HANSA CHIPPER,2019,Trailer,2/02/2022,Waikato
305,Black,Suzuki,GSX600F,2007,Roadbike,2/03/2022,Northland
306,Silver,Kea,KEA MX4,2020,Trailer,2/12/2021,Waitemata
307,Grey,Briford,SINGLE AXLE,1985,Trailer,5/02/2022,Canterbury
308,Orange,Suzuki,GSX,2008,Roadbike,13/03/2022,Waitemata
309,Silver,Trailer,AFC JETSKI,2020,Boat Trailer,15/11/2021,Wellington
310,Red,Domett,RSKF1F27.9,1977,Trailer,4/11/2021,Counties/Manukau
311,Silver,Trailer,ASD JETSKI,2020,Boat Trailer,4/01/2022,Waitemata
312,White,Bailey,PEGEANT S7 LOIRE,2009,Caravan,19/12/2021,Waitemata
313,Grey,Trailer,JETSKI,2020,Boat Trailer,2/04/2022,Northland
314,Red,Kawasaki,ZL 900,1986,Roadbike,30/11/2021,Northland
315,Silver,Trailer,JETSKI,2020,Boat Trailer,30/03/2022,Waikato
316,Silver,Trailer,BRI-INN,2020,Trailer,7/03/2022,Canterbury
317,Grey,Homebuilt,LOCAL,1989,Trailer,22/03/2022,Waikato
318,Grey,Trailer,JEYSKI ACTION LAB,2019,Boat Trailer,20/01/2022,Auckland City
319,Silver,Custombuilt,AUCKLAND,2020,Boat Trailer,8/10/2021,Counties/Manukau
320,Red,Hyosung,GV,2006,Roadbike,1/03/2022,Eastern
321,Grey,Trailer,HOMEMADE,2020,Boat Trailer,10/01/2022,Waikato
322,Silver,Briford,OTHER COMMERCIAL TRA,2016,Trailer - Heavy,7/12/2021,Auckland City
323,White,Caravan,CHEVRON 1300,1977,Caravan,26/02/2022,Bay of Plenty
324,Grey,Trailer,HOMEMADE,1981,Trailer,12/11/2021,Central
325,Silver,Trailer,DOMESTIC,2020,Trailer,3/02/2022,Waitemata
326,Silver,Trailer,DOMESTIC TRAILER,2020,Trailer,1/11/2021,Central
327,Silver,Trailer,ELITE 8X4,2020,Trailer,14/12/2021,Canterbury
328,Grey,Trailer,FUTURA,2020,Trailer,13/01/2022,Auckland City
329,Silver,Trailer,DMW,2020,Boat Trailer,21/11/2021,Waitemata
330,Silver,Trailer,TUFF,2020,Trailer,13/12/2021,Central
331,White,Crusader,560,2010,Caravan,30/11/2021,Canterbury
332,Red,Suzuki,GN125H,2008,Roadbike,20/01/2022,Tasman
333,Grey,Trailer,DOMESTIC TRAILER,1996,Trailer,16/01/2022,Eastern
334,Silver,Kea,K85S,2020,Trailer,2/04/2022,Bay of Plenty
335,Black,Suzuki,GS,2005,Roadbike,6/03/2022,Waitemata
336,Silver,Trailer,DOMESTIC TRAILER,2012,Trailer,19/10/2021,Central
337,Grey,Trailer,8X5,2020,Trailer,10/10/2021,Tasman
338,Silver,Pinto,11X5,2012,Trailer,20/12/2021,Canterbury
339,Silver,Trailer,DOMESTIC,2016,Trailer,30/03/2022,Auckland City
340,Silver,Factory Built,BRENT SMITH TRAILERS,2016,Trailer,5/04/2022,Wellington
341,Silver,Titan,8X5,2016,Trailer,19/10/2021,Bay of Plenty
342,Silver,Briford,8X4,2016,Trailer,8/11/2021,Canterbury
343,Silver,Homebuilt,TRAILERWAY,2016,Trailer,10/03/2022,Counties/Manukau
